time,ax,ay,az,wx,wy,wz
4.560000e+00,9.717792e-01,8.677954e-01,-2.982198e+00,-1.642863e+01,-1.974487e+01,-2.436320e+00
4.580000e+00,1.479523e+00,-1.148811e+00,-3.906676e+00,-4.984538e-01,3.359985e+01,-4.816691e+00
4.600000e+00,-3.391946e+00,-2.399011e+00,1.400687e+00,3.651937e+00,-6.072998e+00,3.545125e+00
4.620000e+00,8.711884e-01,-1.982278e+00,-6.686096e-01,1.012166e+01,4.730225e+00,-1.276652e+00
4.640000e+00,1.032453e+00,-1.091331e+00,-9.943323e-01,1.160685e+01,-4.486084e+00,-1.032511e+00
4.660000e+00,1.193718e+00,-2.003833e-01,-1.320055e+00,1.309204e+01,-1.370239e+01,-7.883708e-01
4.680000e+00,1.354982e+00,6.905640e-01,-1.645778e+00,1.457723e+01,-2.291870e+01,-5.442301e-01
4.700000e+00,-8.244855e-01,1.492896e-01,1.697670e+00,5.727132e+00,-1.052856e+01,4.933675e-01
4.720000e+00,9.740073e-02,5.466272e-01,1.656837e+00,7.448123e+00,-1.383297e+00,-3.608995e+00
4.740000e+00,1.019287e+00,9.439649e-01,1.616003e+00,9.169115e+00,7.761971e+00,-7.711358e+00
4.760000e+00,1.941173e+00,1.341303e+00,1.575170e+00,1.089011e+01,1.690724e+01,-1.181372e+01
4.780000e+00,-2.386038e+00,-1.182341e+00,6.773914e-01,1.210531e+00,-8.087158e+00,-4.723612e+01
4.800000e+00,7.562274e-01,-4.159351e-01,4.681864e+00,8.412679e+00,2.743530e+01,-8.397929e+01
4.820000e+00,-2.807562e+00,-2.854065e+00,-6.660948e+00,-1.508586e+01,3.051758e-02,-1.058909e+02
4.840000e+00,-4.852908e+00,-8.853589e-01,-3.997687e+00,-9.531657e+00,-3.573608e+01,-1.281687e+02
4.860000e+00,-9.921368e-01,-1.445793e+00,-1.621827e+00,-1.447550e+01,-1.156616e+01,-1.588694e+02
4.880000e+00,-3.449427e+00,-5.181226e-01,1.772714e+00,-5.238851e+00,-1.775106e+01,-1.583811e+02
4.900000e+00,-5.906717e+00,4.095483e-01,5.167255e+00,3.997803e+00,-2.393595e+01,-1.578929e+02
4.920000e+00,-8.364007e+00,1.337219e+00,8.561796e+00,1.323446e+01,-3.012085e+01,-1.574046e+02
4.940000e+00,-1.048531e+01,4.302482e+00,6.700523e+00,2.323260e+01,-4.593186e+01,-1.774590e+02
4.960000e+00,-5.614525e+00,2.065305e+00,5.347679e+00,1.592000e+01,-2.655029e+00,-1.946971e+02
4.980000e+00,-3.377576e+00,-5.308960e-01,-3.153442e-02,7.222493e-01,-1.007080e+00,-1.957347e+02
5.000000e+00,-3.339256e+00,7.185059e-03,3.676355e-01,7.425944e-01,5.828857e+00,-1.945140e+02
5.020000e+00,-3.300936e+00,5.452661e-01,7.668054e-01,7.629395e-01,1.266479e+01,-1.932933e+02
5.040000e+00,-3.262615e+00,1.083347e+00,1.165975e+00,7.832845e-01,1.950073e+01,-1.920726e+02
5.060000e+00,-4.581017e+00,4.902947e-01,7.417147e-01,8.863177e+00,6.072998e+00,-1.954440e+02
5.080000e+00,-5.633685e+00,9.013257e-01,-1.976290e+00,9.084066e+00,-2.536011e+01,-2.067820e+02
5.100000e+00,-1.566942e+00,-8.039282e-01,-4.578479e-01,9.938558e+00,4.791260e+00,-2.067820e+02
5.120000e+00,-4.723805e+00,8.108852e-02,3.940377e-02,-9.708949e+00,-4.509335e+00,-2.028293e+02
5.140000e+00,-3.171605e+00,1.301294e-01,-1.094923e+00,4.201253e+00,-4.913330e+00,-1.993357e+02
5.160000e+00,-3.928431e+00,9.923364e-01,-1.545187e+00,-7.151286e+00,5.706787e+00,-2.096507e+02
5.180000e+00,-4.287684e+00,-8.326685e-01,-5.999923e+00,-1.154582e+01,-1.376343e+01,-2.109934e+02
5.200000e+00,-4.632567e+00,-2.099634e-01,-7.165100e-01,2.614339e+00,-1.559448e+01,-2.081858e+02
5.220000e+00,-3.823050e+00,5.037524e-01,-3.045667e-01,4.079183e+00,-1.907349e+01,-2.060496e+02
5.240000e+00,-3.439847e+00,-1.716431e-01,-1.224254e+00,-2.024333e+00,1.809692e+01,-1.981150e+02
5.260000e+00,-7.027586e+00,2.786206e-01,-5.823889e-01,-8.005778e+00,-2.127075e+01,-1.937815e+02
5.280000e+00,-6.663543e+00,1.289319e+00,-9.224817e-01,6.581624e+00,-2.420044e+01,-2.056224e+02
5.300000e+00,-4.158353e+00,2.242537e+00,4.043591e-01,-5.594889e-01,-6.256104e+00,-2.087962e+02
5.320000e+00,-7.286248e+00,1.294109e+00,-6.506470e-02,-4.465739e+00,2.105713e+00,-1.993357e+02
5.340000e+00,-5.432503e+00,-8.230884e-01,-2.531935e+00,-9.256999e-01,3.051758e-02,-1.976878e+02
5.360000e+00,-5.858817e+00,2.594604e-01,-3.216910e+00,2.370199e+00,-3.060913e+01,-2.018992e+02
5.380000e+00,-4.057762e+00,-1.613445e+00,-3.533053e+00,-1.307170e+01,5.035400e+00,-2.009226e+02
5.400000e+00,-7.923323e+00,1.016287e+00,1.362367e+00,-1.551310e+01,-1.821899e+01,-1.957957e+02
5.420000e+00,-3.650609e+00,5.899731e-01,-1.981080e+00,-3.184001e+00,-8.392334e+00,-2.016551e+02
5.440000e+00,-5.293592e+00,-1.357178e-02,-3.940206e+00,-1.111857e+01,-1.846313e+01,-2.056224e+02
5.460000e+00,-4.436175e+00,-1.278142e+00,-2.426554e+00,-1.844279e+01,9.155273e-02,-2.058665e+02
5.480000e+00,-2.898572e+00,-9.332593e-01,3.181384e-01,-7.639567e+00,-1.068115e+00,-1.967112e+02
5.500000e+00,-4.752318e+00,7.672046e-01,-1.521237e+00,6.825765e+00,-1.840210e+01,-1.964671e+02
5.520000e+00,-3.602708e+00,6.330835e-01,-1.377535e+00,-1.087443e+01,2.227783e+00,-2.085520e+02
5.540000e+00,-4.680467e+00,-3.249243e-01,7.444519e-01,-9.714762e+00,-2.023315e+01,-2.077586e+02
5.560000e+00,-4.541556e+00,8.055249e-01,-1.512854e-01,6.886800e+00,3.356934e-01,-2.035472e+02
5.580000e+00,-6.725814e+00,3.741819e+00,5.017167e+00,-7.120768e-02,-1.138306e+01,-2.047068e+02
5.600000e+00,-6.558162e+00,-6.027466e-01,-2.608575e+00,-1.502482e+01,-8.453369e+00,-2.030589e+02
5.620000e+00,-3.760779e+00,5.995532e-01,6.905640e-02,-2.399699e+01,-1.556396e+00,-1.917063e+02
5.640000e+00,-2.544109e+00,6.330835e-01,-3.216910e+00,-4.749552e+01,-9.002686e+00,-1.541697e+02
5.660000e+00,-1.193318e+00,-1.955933e-01,-4.653922e+00,-4.493205e+01,2.609253e+01,-1.226145e+02
5.680000e+00,-3.320096e+00,2.300017e+00,2.009022e+00,-4.529826e+01,-1.556396e+00,-8.526103e+01
5.700000e+00,-5.039720e+00,6.043433e-01,-2.498405e+00,-3.333537e+01,-1.254272e+01,-7.610575e+01
5.720000e+00,-3.420687e+00,1.691682e+00,2.310795e+00,-2.839152e+01,7.598877e+00,-5.394999e+01
5.740000e+00,-4.057762e+00,1.001917e+00,2.023392e+00,1.332601e+00,-2.474976e+01,-5.492655e+01
5.760000e+00,6.939569e-01,7.384644e-01,2.526346e+00,6.825765e+00,5.767822e+00,-3.606669e+01
5.780000e+00,1.901047e+00,6.139233e-01,-3.082789e+00,5.666097e+00,-5.218506e+00,-3.808085e+01
5.800000e+00,9.813593e-01,5.133325e-01,-2.484034e+00,5.910238e+00,-1.396688e+01,-3.085836e+01
5.820000e+00,6.167175e-02,4.127417e-01,-1.885280e+00,6.154378e+00,-2.271525e+01,-2.363586e+01
5.840000e+00,-8.580157e-01,3.121509e-01,-1.286525e+00,6.398519e+00,-3.146362e+01,-1.641337e+01
5.860000e+00,6.891669e-01,9.348560e-01,-5.296985e-01,9.572347e+00,-1.663208e+01,-1.415507e+01
5.880000e+00,-4.125421e-01,-6.602271e-01,-1.094923e+00,-2.576701e+01,6.317139e+00,-3.718058e+00
